image_path,label,video_path,user_id
Processed Dataset/ProcessedHandGesture/CurtainGesture/Hamad/CGH1.png,curtain,Dataset\HandGesture\CurtainGesture\Hamad\CGH1,hamad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Hamad/CGH2.png,curtain,Dataset\HandGesture\CurtainGesture\Hamad\CGH2,hamad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Hamad/CGH3.png,curtain,Dataset\HandGesture\CurtainGesture\Hamad\CGH3,hamad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Hamad/CGH4.png,curtain,Dataset\HandGesture\CurtainGesture\Hamad\CGH4,hamad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Hamad/CGH5.png,curtain,Dataset\HandGesture\CurtainGesture\Hamad\CGH5,hamad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Hamad/CGH6.png,curtain,Dataset\HandGesture\CurtainGesture\Hamad\CGH6,hamad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Hamad/CGH7.png,curtain,Dataset\HandGesture\CurtainGesture\Hamad\CGH7,hamad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Hamad/CGH8.png,curtain,Dataset\HandGesture\CurtainGesture\Hamad\CGH8,hamad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Hamad/CGH9.png,curtain,Dataset\HandGesture\CurtainGesture\Hamad\CGH9,hamad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Hamad/CGH10.png,curtain,Dataset\HandGesture\CurtainGesture\Hamad\CGH10,hamad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Mohammad/CGM1.png,curtain,Dataset\HandGesture\CurtainGesture\Mohammad\CGM1,mohammad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Mohammad/CGM2.png,curtain,Dataset\HandGesture\CurtainGesture\Mohammad\CGM2,mohammad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Mohammad/CGM3.png,curtain,Dataset\HandGesture\CurtainGesture\Mohammad\CGM3,mohammad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Mohammad/CGM4.png,curtain,Dataset\HandGesture\CurtainGesture\Mohammad\CGM4,mohammad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Mohammad/CGM5.png,curtain,Dataset\HandGesture\CurtainGesture\Mohammad\CGM5,mohammad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Mohammad/CGM6.png,curtain,Dataset\HandGesture\CurtainGesture\Mohammad\CGM6,mohammad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Mohammad/CGM7.png,curtain,Dataset\HandGesture\CurtainGesture\Mohammad\CGM7,mohammad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Mohammad/CGM8.png,curtain,Dataset\HandGesture\CurtainGesture\Mohammad\CGM8,mohammad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Mohammad/CGM9.png,curtain,Dataset\HandGesture\CurtainGesture\Mohammad\CGM9,mohammad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Mohammad/CGM10.png,curtain,Dataset\HandGesture\CurtainGesture\Mohammad\CGM10,mohammad
Processed Dataset/ProcessedHandGesture/CurtainGesture/Obaid/CGO1.png,curtain,Dataset\HandGesture\CurtainGesture\Obaid\CGO1,obaid
Processed Dataset/ProcessedHandGesture/CurtainGesture/Obaid/CGO2.png,curtain,Dataset\HandGesture\CurtainGesture\Obaid\CGO2,obaid
Processed Dataset/ProcessedHandGesture/CurtainGesture/Obaid/CGO3.png,curtain,Dataset\HandGesture\CurtainGesture\Obaid\CGO3,obaid
Processed Dataset/ProcessedHandGesture/CurtainGesture/Obaid/CGO4.png,curtain,Dataset\HandGesture\CurtainGesture\Obaid\CGO4,obaid
Processed Dataset/ProcessedHandGesture/CurtainGesture/Obaid/CGO5.png,curtain,Dataset\HandGesture\CurtainGesture\Obaid\CGO5,obaid
Processed Dataset/ProcessedHandGesture/CurtainGesture/Obaid/CGO6.png,curtain,Dataset\HandGesture\CurtainGesture\Obaid\CGO6,obaid
Processed Dataset/ProcessedHandGesture/CurtainGesture/Obaid/CGO7.png,curtain,Dataset\HandGesture\CurtainGesture\Obaid\CGO7,obaid
Processed Dataset/ProcessedHandGesture/CurtainGesture/Obaid/CGO8.png,curtain,Dataset\HandGesture\CurtainGesture\Obaid\CGO8,obaid
Processed Dataset/ProcessedHandGesture/CurtainGesture/Obaid/CGO9.png,curtain,Dataset\HandGesture\CurtainGesture\Obaid\CGO9,obaid
Processed Dataset/ProcessedHandGesture/CurtainGesture/Obaid/CGO10.png,curtain,Dataset\HandGesture\CurtainGesture\Obaid\CGO10,obaid
Processed Dataset/ProcessedHandGesture/CurtainGesture/Saif/CGS1.png,curtain,Dataset\HandGesture\CurtainGesture\Saif\CGS1,saif
Processed Dataset/ProcessedHandGesture/CurtainGesture/Saif/CGS2.png,curtain,Dataset\HandGesture\CurtainGesture\Saif\CGS2,saif
Processed Dataset/ProcessedHandGesture/CurtainGesture/Saif/CGS3.png,curtain,Dataset\HandGesture\CurtainGesture\Saif\CGS3,saif
Processed Dataset/ProcessedHandGesture/CurtainGesture/Saif/CGS4.png,curtain,Dataset\HandGesture\CurtainGesture\Saif\CGS4,saif
Processed Dataset/ProcessedHandGesture/CurtainGesture/Saif/CGS5.png,curtain,Dataset\HandGesture\CurtainGesture\Saif\CGS5,saif
Processed Dataset/ProcessedHandGesture/CurtainGesture/Saif/CGS6.png,curtain,Dataset\HandGesture\CurtainGesture\Saif\CGS6,saif
Processed Dataset/ProcessedHandGesture/CurtainGesture/Saif/CGS7.png,curtain,Dataset\HandGesture\CurtainGesture\Saif\CGS7,saif
Processed Dataset/ProcessedHandGesture/CurtainGesture/Saif/CGS8.png,curtain,Dataset\HandGesture\CurtainGesture\Saif\CGS8,saif
Processed Dataset/ProcessedHandGesture/CurtainGesture/Saif/CGS9.png,curtain,Dataset\HandGesture\CurtainGesture\Saif\CGS9,saif
Processed Dataset/ProcessedHandGesture/CurtainGesture/Saif/CGS10.png,curtain,Dataset\HandGesture\CurtainGesture\Saif\CGS10,saif
Processed Dataset/ProcessedHandGesture/FanGesture/Hamad/FGH1.png,fan,Dataset\HandGesture\FanGesture\Hamad\FGH1,hamad
Processed Dataset/ProcessedHandGesture/FanGesture/Hamad/FGH2.png,fan,Dataset\HandGesture\FanGesture\Hamad\FGH2,hamad
Processed Dataset/ProcessedHandGesture/FanGesture/Hamad/FGH3.png,fan,Dataset\HandGesture\FanGesture\Hamad\FGH3,hamad
Processed Dataset/ProcessedHandGesture/FanGesture/Hamad/FGH4.png,fan,Dataset\HandGesture\FanGesture\Hamad\FGH4,hamad
Processed Dataset/ProcessedHandGesture/FanGesture/Hamad/FGH5.png,fan,Dataset\HandGesture\FanGesture\Hamad\FGH5,hamad
Processed Dataset/ProcessedHandGesture/FanGesture/Hamad/FGH6.png,fan,Dataset\HandGesture\FanGesture\Hamad\FGH6,hamad
Processed Dataset/ProcessedHandGesture/FanGesture/Hamad/FGH7.png,fan,Dataset\HandGesture\FanGesture\Hamad\FGH7,hamad
Processed Dataset/ProcessedHandGesture/FanGesture/Hamad/FGH8.png,fan,Dataset\HandGesture\FanGesture\Hamad\FGH8,hamad
Processed Dataset/ProcessedHandGesture/FanGesture/Hamad/FGH9.png,fan,Dataset\HandGesture\FanGesture\Hamad\FGH9,hamad
Processed Dataset/ProcessedHandGesture/FanGesture/Hamad/FGH10.png,fan,Dataset\HandGesture\FanGesture\Hamad\FGH10,hamad
Processed Dataset/ProcessedHandGesture/FanGesture/Mohammad/FGM1.png,fan,Dataset\HandGesture\FanGesture\Mohammad\FGM1,mohammad
Processed Dataset/ProcessedHandGesture/FanGesture/Mohammad/FGM2.png,fan,Dataset\HandGesture\FanGesture\Mohammad\FGM2,mohammad
Processed Dataset/ProcessedHandGesture/FanGesture/Mohammad/FGM3.png,fan,Dataset\HandGesture\FanGesture\Mohammad\FGM3,mohammad
Processed Dataset/ProcessedHandGesture/FanGesture/Mohammad/FGM4.png,fan,Dataset\HandGesture\FanGesture\Mohammad\FGM4,mohammad
Processed Dataset/ProcessedHandGesture/FanGesture/Mohammad/FGM5.png,fan,Dataset\HandGesture\FanGesture\Mohammad\FGM5,mohammad
Processed Dataset/ProcessedHandGesture/FanGesture/Mohammad/FGM6.png,fan,Dataset\HandGesture\FanGesture\Mohammad\FGM6,mohammad
Processed Dataset/ProcessedHandGesture/FanGesture/Mohammad/FGM7.png,fan,Dataset\HandGesture\FanGesture\Mohammad\FGM7,mohammad
Processed Dataset/ProcessedHandGesture/FanGesture/Mohammad/FGM8.png,fan,Dataset\HandGesture\FanGesture\Mohammad\FGM8,mohammad
Processed Dataset/ProcessedHandGesture/FanGesture/Mohammad/FGM9.png,fan,Dataset\HandGesture\FanGesture\Mohammad\FGM9,mohammad
Processed Dataset/ProcessedHandGesture/FanGesture/Mohammad/FGM10.png,fan,Dataset\HandGesture\FanGesture\Mohammad\FGM10,mohammad
Processed Dataset/ProcessedHandGesture/FanGesture/Obaid/FGO1.png,fan,Dataset\HandGesture\FanGesture\Obaid\FGO1,obaid
Processed Dataset/ProcessedHandGesture/FanGesture/Obaid/FGO2.png,fan,Dataset\HandGesture\FanGesture\Obaid\FGO2,obaid
Processed Dataset/ProcessedHandGesture/FanGesture/Obaid/FGO3.png,fan,Dataset\HandGesture\FanGesture\Obaid\FGO3,obaid
Processed Dataset/ProcessedHandGesture/FanGesture/Obaid/FGO4.png,fan,Dataset\HandGesture\FanGesture\Obaid\FGO4,obaid
Processed Dataset/ProcessedHandGesture/FanGesture/Obaid/FGO5.png,fan,Dataset\HandGesture\FanGesture\Obaid\FGO5,obaid
Processed Dataset/ProcessedHandGesture/FanGesture/Obaid/FGO6.png,fan,Dataset\HandGesture\FanGesture\Obaid\FGO6,obaid
Processed Dataset/ProcessedHandGesture/FanGesture/Obaid/FGO7.png,fan,Dataset\HandGesture\FanGesture\Obaid\FGO7,obaid
Processed Dataset/ProcessedHandGesture/FanGesture/Obaid/FGO8.png,fan,Dataset\HandGesture\FanGesture\Obaid\FGO8,obaid
Processed Dataset/ProcessedHandGesture/FanGesture/Obaid/FGO9.png,fan,Dataset\HandGesture\FanGesture\Obaid\FGO9,obaid
Processed Dataset/ProcessedHandGesture/FanGesture/Obaid/FGO10.png,fan,Dataset\HandGesture\FanGesture\Obaid\FGO10,obaid
Processed Dataset/ProcessedHandGesture/FanGesture/Saif/FGS1.png,fan,Dataset\HandGesture\FanGesture\Saif\FGS1,saif
Processed Dataset/ProcessedHandGesture/FanGesture/Saif/FGS2.png,fan,Dataset\HandGesture\FanGesture\Saif\FGS2,saif
Processed Dataset/ProcessedHandGesture/FanGesture/Saif/FGS3.png,fan,Dataset\HandGesture\FanGesture\Saif\FGS3,saif
Processed Dataset/ProcessedHandGesture/FanGesture/Saif/FGS4.png,fan,Dataset\HandGesture\FanGesture\Saif\FGS4,saif
Processed Dataset/ProcessedHandGesture/FanGesture/Saif/FGS5.png,fan,Dataset\HandGesture\FanGesture\Saif\FGS5,saif
Processed Dataset/ProcessedHandGesture/FanGesture/Saif/FGS6.png,fan,Dataset\HandGesture\FanGesture\Saif\FGS6,saif
Processed Dataset/ProcessedHandGesture/FanGesture/Saif/FGS7.png,fan,Dataset\HandGesture\FanGesture\Saif\FGS7,saif
Processed Dataset/ProcessedHandGesture/FanGesture/Saif/FGS8.png,fan,Dataset\HandGesture\FanGesture\Saif\FGS8,saif
Processed Dataset/ProcessedHandGesture/FanGesture/Saif/FGS9.png,fan,Dataset\HandGesture\FanGesture\Saif\FGS9,saif
Processed Dataset/ProcessedHandGesture/FanGesture/Saif/FGS10.png,fan,Dataset\HandGesture\FanGesture\Saif\FGS10,saif
Processed Dataset/ProcessedHandGesture/LightGesture/Hamad/LGH1.png,light,Dataset\HandGesture\LightGesture\Hamad\LGH1,hamad
Processed Dataset/ProcessedHandGesture/LightGesture/Hamad/LGH2.png,light,Dataset\HandGesture\LightGesture\Hamad\LGH2,hamad
Processed Dataset/ProcessedHandGesture/LightGesture/Hamad/LGH3.png,light,Dataset\HandGesture\LightGesture\Hamad\LGH3,hamad
Processed Dataset/ProcessedHandGesture/LightGesture/Hamad/LGH4.png,light,Dataset\HandGesture\LightGesture\Hamad\LGH4,hamad
Processed Dataset/ProcessedHandGesture/LightGesture/Hamad/LGH5.png,light,Dataset\HandGesture\LightGesture\Hamad\LGH5,hamad
Processed Dataset/ProcessedHandGesture/LightGesture/Hamad/LGH6.png,light,Dataset\HandGesture\LightGesture\Hamad\LGH6,hamad
Processed Dataset/ProcessedHandGesture/LightGesture/Hamad/LGH7.png,light,Dataset\HandGesture\LightGesture\Hamad\LGH7,hamad
Processed Dataset/ProcessedHandGesture/LightGesture/Hamad/LGH8.png,light,Dataset\HandGesture\LightGesture\Hamad\LGH8,hamad
Processed Dataset/ProcessedHandGesture/LightGesture/Hamad/LGH9.png,light,Dataset\HandGesture\LightGesture\Hamad\LGH9,hamad
Processed Dataset/ProcessedHandGesture/LightGesture/Hamad/LGH10.png,light,Dataset\HandGesture\LightGesture\Hamad\LGH10,hamad
Processed Dataset/ProcessedHandGesture/LightGesture/Mohammad/LGM1.png,light,Dataset\HandGesture\LightGesture\Mohammad\LGM1,mohammad
Processed Dataset/ProcessedHandGesture/LightGesture/Mohammad/LGM2.png,light,Dataset\HandGesture\LightGesture\Mohammad\LGM2,mohammad
Processed Dataset/ProcessedHandGesture/LightGesture/Mohammad/LGM3.png,light,Dataset\HandGesture\LightGesture\Mohammad\LGM3,mohammad
Processed Dataset/ProcessedHandGesture/LightGesture/Mohammad/lGM4.png,light,Dataset\HandGesture\LightGesture\Mohammad\lGM4,mohammad
Processed Dataset/ProcessedHandGesture/LightGesture/Mohammad/LGM5.png,light,Dataset\HandGesture\LightGesture\Mohammad\LGM5,mohammad
Processed Dataset/ProcessedHandGesture/LightGesture/Mohammad/LGM6.png,light,Dataset\HandGesture\LightGesture\Mohammad\LGM6,mohammad
Processed Dataset/ProcessedHandGesture/LightGesture/Mohammad/LGM7.png,light,Dataset\HandGesture\LightGesture\Mohammad\LGM7,mohammad
Processed Dataset/ProcessedHandGesture/LightGesture/Mohammad/LGM8.png,light,Dataset\HandGesture\LightGesture\Mohammad\LGM8,mohammad
Processed Dataset/ProcessedHandGesture/LightGesture/Mohammad/LGM9.png,light,Dataset\HandGesture\LightGesture\Mohammad\LGM9,mohammad
Processed Dataset/ProcessedHandGesture/LightGesture/Mohammad/lGM10.png,light,Dataset\HandGesture\LightGesture\Mohammad\lGM10,mohammad
Processed Dataset/ProcessedHandGesture/LightGesture/Obaid/LGO1.png,light,Dataset\HandGesture\LightGesture\Obaid\LGO1,obaid
Processed Dataset/ProcessedHandGesture/LightGesture/Obaid/LGO2.png,light,Dataset\HandGesture\LightGesture\Obaid\LGO2,obaid
Processed Dataset/ProcessedHandGesture/LightGesture/Obaid/LGO3.png,light,Dataset\HandGesture\LightGesture\Obaid\LGO3,obaid
Processed Dataset/ProcessedHandGesture/LightGesture/Obaid/LGO4.png,light,Dataset\HandGesture\LightGesture\Obaid\LGO4,obaid
Processed Dataset/ProcessedHandGesture/LightGesture/Obaid/LGO5.png,light,Dataset\HandGesture\LightGesture\Obaid\LGO5,obaid
Processed Dataset/ProcessedHandGesture/LightGesture/Obaid/LGO6.png,light,Dataset\HandGesture\LightGesture\Obaid\LGO6,obaid
Processed Dataset/ProcessedHandGesture/LightGesture/Obaid/LGO7.png,light,Dataset\HandGesture\LightGesture\Obaid\LGO7,obaid
Processed Dataset/ProcessedHandGesture/LightGesture/Obaid/LGO8.png,light,Dataset\HandGesture\LightGesture\Obaid\LGO8,obaid
Processed Dataset/ProcessedHandGesture/LightGesture/Obaid/LGO9.png,light,Dataset\HandGesture\LightGesture\Obaid\LGO9,obaid
Processed Dataset/ProcessedHandGesture/LightGesture/Obaid/LGO10.png,light,Dataset\HandGesture\LightGesture\Obaid\LGO10,obaid
Processed Dataset/ProcessedHandGesture/LightGesture/Saif/LGS1.png,light,Dataset\HandGesture\LightGesture\Saif\LGS1,saif
Processed Dataset/ProcessedHandGesture/LightGesture/Saif/LGS2.png,light,Dataset\HandGesture\LightGesture\Saif\LGS2,saif
Processed Dataset/ProcessedHandGesture/LightGesture/Saif/LGS3.png,light,Dataset\HandGesture\LightGesture\Saif\LGS3,saif
Processed Dataset/ProcessedHandGesture/LightGesture/Saif/LGS4.png,light,Dataset\HandGesture\LightGesture\Saif\LGS4,saif
Processed Dataset/ProcessedHandGesture/LightGesture/Saif/LGS5.png,light,Dataset\HandGesture\LightGesture\Saif\LGS5,saif
Processed Dataset/ProcessedHandGesture/LightGesture/Saif/LGS6.png,light,Dataset\HandGesture\LightGesture\Saif\LGS6,saif
Processed Dataset/ProcessedHandGesture/LightGesture/Saif/LGS7.png,light,Dataset\HandGesture\LightGesture\Saif\LGS7,saif
Processed Dataset/ProcessedHandGesture/LightGesture/Saif/LGS8.png,light,Dataset\HandGesture\LightGesture\Saif\LGS8,saif
Processed Dataset/ProcessedHandGesture/LightGesture/Saif/LGS9.png,light,Dataset\HandGesture\LightGesture\Saif\LGS9,saif
Processed Dataset/ProcessedHandGesture/LightGesture/Saif/LGS10.png,light,Dataset\HandGesture\LightGesture\Saif\LGS10,saif
Processed Dataset/ProcessedHandGesture/ScreenGesture/Hamad/SGH1.png,screen,Dataset\HandGesture\ScreenGesture\Hamad\SGH1,hamad
Processed Dataset/ProcessedHandGesture/ScreenGesture/Hamad/SGH2.png,screen,Dataset\HandGesture\ScreenGesture\Hamad\SGH2,hamad
Processed Dataset/ProcessedHandGesture/ScreenGesture/Hamad/SGH3.png,screen,Dataset\HandGesture\ScreenGesture\Hamad\SGH3,hamad
Processed Dataset/ProcessedHandGesture/ScreenGesture/Hamad/SGH4.png,screen,Dataset\HandGesture\ScreenGesture\Hamad\SGH4,hamad
Processed Dataset/ProcessedHandGesture/ScreenGesture/Hamad/SGH5.png,screen,Dataset\HandGesture\ScreenGesture\Hamad\SGH5,hamad
Processed Dataset/ProcessedHandGesture/ScreenGesture/Hamad/SGH6.png,screen,Dataset\HandGesture\ScreenGesture\Hamad\SGH6,hamad
Processed Dataset/ProcessedHandGesture/ScreenGesture/Hamad/SGH7.png,screen,Dataset\HandGesture\ScreenGesture\Hamad\SGH7,hamad
Processed Dataset/ProcessedHandGesture/ScreenGesture/Hamad/SGH8.png,screen,Dataset\HandGesture\ScreenGesture\Hamad\SGH8,hamad
Processed Dataset/ProcessedHandGesture/ScreenGesture/Hamad/SGH9.png,screen,Dataset\HandGesture\ScreenGesture\Hamad\SGH9,hamad
Processed Dataset/ProcessedHandGesture/ScreenGesture/Hamad/SGH10.png,screen,Dataset\HandGesture\ScreenGesture\Hamad\SGH10,hamad
Processed Dataset/ProcessedHandGesture/ScreenGesture/Mohammad/SGM1.png,screen,Dataset\HandGesture\ScreenGesture\Mohammad\SGM1,mohammad
Processed Dataset/ProcessedHandGesture/ScreenGesture/Mohammad/SGM2.png,screen,Dataset\HandGesture\ScreenGesture\Mohammad\SGM2,mohammad
Processed Dataset/ProcessedHandGesture/ScreenGesture/Mohammad/SGM3.png,screen,Dataset\HandGesture\ScreenGesture\Mohammad\SGM3,mohammad
Processed Dataset/ProcessedHandGesture/ScreenGesture/Mohammad/SGM4.png,screen,Dataset\HandGesture\ScreenGesture\Mohammad\SGM4,mohammad
Processed Dataset/ProcessedHandGesture/ScreenGesture/Mohammad/SGM5.png,screen,Dataset\HandGesture\ScreenGesture\Mohammad\SGM5,mohammad
Processed Dataset/ProcessedHandGesture/ScreenGesture/Mohammad/SGM6.png,screen,Dataset\HandGesture\ScreenGesture\Mohammad\SGM6,mohammad
Processed Dataset/ProcessedHandGesture/ScreenGesture/Mohammad/SGM7.png,screen,Dataset\HandGesture\ScreenGesture\Mohammad\SGM7,mohammad
Processed Dataset/ProcessedHandGesture/ScreenGesture/Mohammad/SGM8.png,screen,Dataset\HandGesture\ScreenGesture\Mohammad\SGM8,mohammad
Processed Dataset/ProcessedHandGesture/ScreenGesture/Mohammad/SGM9.png,screen,Dataset\HandGesture\ScreenGesture\Mohammad\SGM9,mohammad
Processed Dataset/ProcessedHandGesture/ScreenGesture/Mohammad/SGM10.png,screen,Dataset\HandGesture\ScreenGesture\Mohammad\SGM10,mohammad
Processed Dataset/ProcessedHandGesture/ScreenGesture/Obaid/SGO1.png,screen,Dataset\HandGesture\ScreenGesture\Obaid\SGO1,obaid
Processed Dataset/ProcessedHandGesture/ScreenGesture/Obaid/SGO2.png,screen,Dataset\HandGesture\ScreenGesture\Obaid\SGO2,obaid
Processed Dataset/ProcessedHandGesture/ScreenGesture/Obaid/SGO3.png,screen,Dataset\HandGesture\ScreenGesture\Obaid\SGO3,obaid
Processed Dataset/ProcessedHandGesture/ScreenGesture/Obaid/SGO4.png,screen,Dataset\HandGesture\ScreenGesture\Obaid\SGO4,obaid
Processed Dataset/ProcessedHandGesture/ScreenGesture/Obaid/SGO5.png,screen,Dataset\HandGesture\ScreenGesture\Obaid\SGO5,obaid
Processed Dataset/ProcessedHandGesture/ScreenGesture/Obaid/SGO6.png,screen,Dataset\HandGesture\ScreenGesture\Obaid\SGO6,obaid
Processed Dataset/ProcessedHandGesture/ScreenGesture/Obaid/SGO7.png,screen,Dataset\HandGesture\ScreenGesture\Obaid\SGO7,obaid
Processed Dataset/ProcessedHandGesture/ScreenGesture/Obaid/SGO8.png,screen,Dataset\HandGesture\ScreenGesture\Obaid\SGO8,obaid
Processed Dataset/ProcessedHandGesture/ScreenGesture/Obaid/SGO9.png,screen,Dataset\HandGesture\ScreenGesture\Obaid\SGO9,obaid
Processed Dataset/ProcessedHandGesture/ScreenGesture/Obaid/SGO10.png,screen,Dataset\HandGesture\ScreenGesture\Obaid\SGO10,obaid
Processed Dataset/ProcessedHandGesture/ScreenGesture/Saif/SGS1.png,screen,Dataset\HandGesture\ScreenGesture\Saif\SGS1,saif
Processed Dataset/ProcessedHandGesture/ScreenGesture/Saif/SGS2.png,screen,Dataset\HandGesture\ScreenGesture\Saif\SGS2,saif
Processed Dataset/ProcessedHandGesture/ScreenGesture/Saif/SGS3.png,screen,Dataset\HandGesture\ScreenGesture\Saif\SGS3,saif
Processed Dataset/ProcessedHandGesture/ScreenGesture/Saif/SGS4.png,screen,Dataset\HandGesture\ScreenGesture\Saif\SGS4,saif
Processed Dataset/ProcessedHandGesture/ScreenGesture/Saif/SGS5.png,screen,Dataset\HandGesture\ScreenGesture\Saif\SGS5,saif
Processed Dataset/ProcessedHandGesture/ScreenGesture/Saif/SGS6.png,screen,Dataset\HandGesture\ScreenGesture\Saif\SGS6,saif
Processed Dataset/ProcessedHandGesture/ScreenGesture/Saif/SGS7.png,screen,Dataset\HandGesture\ScreenGesture\Saif\SGS7,saif
Processed Dataset/ProcessedHandGesture/ScreenGesture/Saif/SGS8.png,screen,Dataset\HandGesture\ScreenGesture\Saif\SGS8,saif
Processed Dataset/ProcessedHandGesture/ScreenGesture/Saif/SGS9.png,screen,Dataset\HandGesture\ScreenGesture\Saif\SGS9,saif
Processed Dataset/ProcessedHandGesture/ScreenGesture/Saif/SGS10.png,screen,Dataset\HandGesture\ScreenGesture\Saif\SGS10,saif
